"Fea.",1
"puta.",1
"gata.",1
"Loca.",1
"Fría.",1
"Loba.",1
"puta.",1
"puta.",1
"Puta.",1
"Nena.",1
"zorra.",1
"Bruja.",1
"fiera.",1
"fuina.",1
"Perra.",1
"gorda.",1
"putas.",1
"tonta.",1
"bruja.",1
"golfa.",1
"zorra.",1
"vieja.",1
"bruta.",1
"perras.",1
"cerdas.",1
"gordas.",1
"melafo.",1
"mocajo.",1
"mocosa.",1
"mohosa.",1
"sebosa.",1
"picuda.",1
"getuda.",1
"patuda.",1
"lanuda.",1
"diabla.",1
"culona.",1
"ratona.",1
"sopona.",1
"arpías.",1
"criada.",1
"tóxica.",1
"zorras.",1
"esposa.",1
"zorras.",1
"Puerca.",1
"golosa.",1
"golosa.",1
"pirujas.",1
"rogonas.",1
"celosas.",1
"mamerta.",1
"zurrapa.",1
"pingajo.",1
"trapajo.",1
"gargajo.",1
"mocarra.",1
"callosa.",1
"podrida.",1
"greñuda.",1
"zancuda.",1
"zullona.",1
"moscona.",1
"trotona.",1
"tostona.",1
"tarasca.",1
"ladilla.",1
"caparra.",1
"cerrera.",1
"verruga.",1
"Mandona.",1
"Frígida.",1
"esclava.",1
"Payasas.",1
"pirujas.",1
"fodonga.",1
"es sexy.",1
"celosas.",1
"eres mía.",1
"nalguita.",1
"fodongas.",1
"la gorda.",1
"a fregar.",1
"vomitada.",1
"escobajo.",1
"legañosa.",1
"ojisucia.",1
"muermosa.",1
"hedionda.",1
"hocicuda.",1
"ca- gona.",1
"chochona.",1
"Mojigata.",1
"esclavas.",1
"heterias.",1
"la bruja.",1
"inútiles.",1
"malvadas.",1
"rebeldes.",1
"viciosas.",1
"esclavas.",1
"Asesinas.",1
"fodongas.",1
"estúpida.",1
"la vieja.",1
"la golfa.",1
"criaditas.",1
"la víbora.",1
"chismosas.",1
"malc*gida.",1
"Promiscua.",1
"estropajo.",1
"zarandajo.",1
"ranacuajo.",1
"espantajo.",1
"zancajo.",1
"chinchosa.",1
"asquerosa.",1
"culiparda.",1
"juanetuda.",1
"chanflona.",1
"estafermo.",1
"cantonera.",1
"mochilera.",1
"Dramática.",1
"la maruja.",1
"la infiel.",1
"callejera.",1
"Mentirosa.",1
"borrachas.",1
"la criada.",1
"peligrosa.",1
"MISS SEXY.",1
"la toxica.",1
"chismosas.",1
"histérica.",1
"mariquita.",1
"callejera.",1
"ardientes.",1
"voluptuosa.",1
"mujerzuela.",1
"prostituta.",1
"solteronas.",1
"tía juruga.",1
"escarabajo.",1
"cazcarrosa.",1
"esto- posa.",1
"garrullona.",1
"chamuscada.",1
"capagallos.",1
"chirigaita.",1
"malfollada.",1
"mala mujer.",1
"codiciosas.",1
"¡Pendejas.",1
"envidiosas.",1
"repugnante.",1
